selectionSort	Losowa
Elementy	Czas(s)
20000	0.001685
30000	0.002253
40000	0.003278
50000	0.004633
60000	0.005373
QuickSort	Odwrotnie posortowana
Elementy	Czas(s)
10	0.000001
50	0.000003
100	0.000006
500	0.000031
1000	0.000063
2000	0.000132
4000	0.000278
5000	0.000322
7000	0.000483
10000	0.000747
20000	0.001572
30000	0.002447
40000	0.003311
50000	0.004628
60000	0.004884
QuickSort	V-ksztaltna
Elementy	Czas(s)
10	0.000001
50	0.000006
100	0.000014
500	0.000243
1000	0.000915
2000	0.003562
4000	0.013801
5000	0.021529
7000	0.042807
10000	0.086238
20000	0.346614
30000	0.779341
40000	1.382147
50000	2.171756
60000	3.112915
QuickSort	A-ksztaltna
Elementy	Czas(s)
10	0.000001
50	0.000005
100	0.000011
500	0.000071
1000	0.000327
2000	0.001141
4000	0.004468
5000	0.014089
7000	0.022225
10000	0.040298
20000	0.091459
30000	0.352776
40000	0.777102
50000	1.245876
60000	2.137356
QuickSort	Stajnia
Elementy	Czas(s)
10	0.000001
50	0.000003
100	0.000006
500	0.000035
1000	0.000075
2000	0.000177
4000	0.000362
5000	0.000432
7000	0.000627
10000	0.000935
20000	0.001907
30000	0.002915
40000	0.004078
50000	0.005299
60000	0.006505
QuickSort Iteracyjny	Losowa
Elementy	Czas(s)
10	0.000000
50	0.000001
100	0.000001
500	0.000000
1000	0.000001
2000	0.000000
4000	0.000001
5000	0.000000
7000	0.000001
10000	0.000000
20000	0.000001
30000	0.000001
40000	0.000001
50000	0.000000
60000	0.000000
QuickSort Iteracyjny	Posortowana
Elementy	Czas(s)
10	0.000000
50	0.000000
100	0.000000
500	0.000000
1000	0.000000
2000	0.000001
4000	0.000001
5000	0.000001
7000	0.000001
10000	0.000000
20000	0.000000
30000	0.000000
40000	0.000000
50000	0.000001
60000	0.000000
QuickSort Iteracyjny	Odwrotnie posortowana
Elementy	Czas(s)
10	0.000000
50	0.000000
100	0.000000
500	0.000000
1000	0.000000
2000	0.000000
4000	0.000000
5000	0.000000
7000	0.000000
10000	0.000000
20000	0.000000
30000	0.000001
40000	0.000000
50000	0.000000
60000	0.000000
QuickSort Iteracyjny	V-ksztaltna
Elementy	Czas(s)
10	0.000000
50	0.000000
100	0.000000
500	0.000000
1000	0.000000
2000	0.000000
4000	0.000000
5000	0.000000
7000	0.000001
10000	0.000001
20000	0.000001
30000	0.000000
40000	0.000000
50000	0.000000
60000	0.000001
QuickSort Iteracyjny	A-ksztaltna
Elementy	Czas(s)
10	0.000001
50	0.000001
100	0.000001
500	0.000000
1000	0.000001
2000	0.000000
4000	0.000000
5000	0.000001
7000	0.000000
10000	0.000001
20000	0.000001
30000	0.000001
40000	0.000000
50000	0.000000
60000	0.000000
QuickSort Iteracyjny	Stajnia
Elementy	Czas(s)
10	0.000000
50	0.000000
100	0.000000
500	0.000000
1000	0.000001
2000	0.000000
4000	0.000001
5000	0.000000
7000	0.000001
10000	0.000000
20000	0.000000
30000	0.000001
40000	0.000000
50000	0.000001
60000	0.000001
